STOCK,TICKER
Reliance Industries,RELIANCE.NS
HDFC Bank,HDB
Bharti Airtel,BHARTIARTL.NS
Tata Consultancy Services,TCS.NS
ICICI Bank,IBN
State Bank of India,SBIN.NS
Infosys,INFY
Bajaj Finance,BAJFINANCE.NS
Larsen &amp; Toubro,LT.NS
Hindustan Unilever,HINDUNILVR.NS
Life Insurance Corporation of India (LIC),LICI.NS
Maruti Suzuki India,MARUTI.NS
ITC,ITC.NS
HCL Technologies,HCLTECH.NS
Mahindra &amp; Mahindra,M&M.NS
Kotak Mahindra Bank,KOTAKBANK.NS
Sun Pharmaceutical,SUNPHARMA.NS
Axis Bank,AXISBANK.BO
Titan Company,TITAN.NS
UltraTech Cement,ULTRACEMCO.NS
Bajaj Finserv,BAJAJFINSV.NS
Adani Ports & SEZ,ADANIPORTS.NS
NTPC Limited,NTPC.NS
Oil &amp; Natural Gas,ONGC.NS
Adani Enterprises,ADANIENT.NS
Hindustan Aeronautics,HAL.NS
Bharat Electronics,BEL.NS
Adani Power,ADANIPOWER.NS
Wipro,WIT
Asian Paints,ASIANPAINT.NS
JSW Steel,JSWSTEEL.NS
Eternal (Zomato),ETERNAL.NS
DMart,DMART.NS
Bajaj Auto,BAJAJ-AUTO.NS
Hindustan Zinc,HINDZINC.NS
Powergrid Corporation of India,POWERGRID.NS
Nestlé India,NESTLEIND.NS
Indian Oil,IOC.NS
Coal India,COALINDIA.NS
Vedanta,VEDL.NS
Tata Steel,TATASTEEL.NS
SBI Life Insurance,SBILIFE.NS
Eicher Motors,EICHERMOT.NS
InterGlobe Aviation (IndiGo),INDIGO.NS
Grasim Industries,GRASIM.NS
Hindalco Industries,HINDALCO.NS
Jio Financial Services,JIOFIN.NS
Hyundai Motor India,HYUNDAI.NS
LTIMindtree,LTIM.NS
TVS Motor,TVSMOTOR.NS
DLF,DLF.NS
Adani Green Energy,ADANIGREEN.NS
Divis Laboratories,DIVISLAB.NS
HDFC Life,HDFCLIFE.NS
Shriram Transport Finance,SHRIRAMFIN.NS
Bharat Petroleum,BPCL.NS
Varun Beverages,VBL.NS
Muthoot Finance,MUTHOOTFIN.NS
Tata Motors,TATAMOTORS.NS
Bank of Baroda,BANKBARODA.NS
Pidilite,PIDILITIND.NS
Britannia Industries,BRITANNIA.NS
Indian Railway Finance,IRFC.NS
Trent Limited,TRENT.NS
Cholamandalam Investment and Finance,CHOLAFIN.NS
Tech Mahindra,TECHM.NS
Punjab National Bank,PNB.NS
Canara Bank,CANBK.NS
Ambuja Cements,AMBUJACEM.NS
Torrent Pharmaceuticals,TORNTPHARM.NS
Samvardhana Motherson,MOTHERSON.NS
Cummins India,CUMMINSIND.NS
Bajaj Holdings &amp; Investment,BAJAJHLDNG.NS
Tata Power,TATAPOWER.NS
Cipla,CIPLA.NS
Vodafone Idea,IDEA.NS
Godrej,GODREJCP.NS
Adani Energy Solutions,ADANIENSOL.NS
Union Bank of India,UNIONBANK.NS
Tata Consumer Products,TATACONSUM.NS
Hero MotoCorp,HEROMOTOCO.NS
Siemens India,SIEMENS.NS
GAIL,GAIL.NS
Power Finance Corp,PFC.NS
ABB India,ABB.NS
HDFC Asset Management Company Limited,HDFCAMC.NS
Indus Towers,INDUSTOWER.NS
Solar Industries India,SOLARINDS.NS
BSE,BSE.NS
GMR Airports,GMRAIRPORT.NS
Polycab India,POLYCAB.NS
Lodha Group,LODHA.NS
BOSCH India,BOSCHLTD.NS
CG Power and Industrial Solutions,CGPOWER.NS
IDBI Bank,IDBI.NS
LG Electronics India Ltd.,LGEINDIA.NS
Dr. Reddy's Laboratories,RDY
Indian Bank,INDIANB.NS
United Spirits,UNITDSPR.BO
Swiggy,SWIGGY.NS
